"Prov.State","Country","Lat","Long","Date","Confirmed","Deaths","Recovered"
"","Algeria",28.0339,1.6596,2020-03-21 08:00:00,139,15,32
"","Algeria",28.0339,1.6596,2020-03-22 08:00:00,201,17,65
"","Algeria",28.0339,1.6596,2020-03-23 08:00:00,230,17,65
"","Algeria",28.0339,1.6596,2020-03-24 08:00:00,264,19,24
"","Algeria",28.0339,1.6596,2020-03-25 08:00:00,302,21,65
"","Algeria",28.0339,1.6596,2020-03-26 08:00:00,367,25,29
"","Algeria",28.0339,1.6596,2020-03-27 08:00:00,409,26,29
"","Algeria",28.0339,1.6596,2020-03-28 08:00:00,454,29,31
"","Algeria",28.0339,1.6596,2020-03-29 08:00:00,511,31,31
"","Algeria",28.0339,1.6596,2020-03-30 08:00:00,584,35,37
"","Algeria",28.0339,1.6596,2020-03-31 08:00:00,716,44,46
"","Algeria",28.0339,1.6596,2020-04-01 08:00:00,847,58,61
"","Algeria",28.0339,1.6596,2020-04-02 08:00:00,986,86,61
"","Algeria",28.0339,1.6596,2020-04-03 08:00:00,1171,105,62
"","Algeria",28.0339,1.6596,2020-04-04 08:00:00,1251,130,90
"","Algeria",28.0339,1.6596,2020-04-05 08:00:00,1320,152,90
"","Algeria",28.0339,1.6596,2020-04-06 08:00:00,1423,173,90
"","Algeria",28.0339,1.6596,2020-04-07 08:00:00,1468,193,113
"","Algeria",28.0339,1.6596,2020-04-08 08:00:00,1572,205,237
"","Algeria",28.0339,1.6596,2020-04-09 08:00:00,1666,235,347
"","Algeria",28.0339,1.6596,2020-04-10 08:00:00,1761,256,405
"","Algeria",28.0339,1.6596,2020-04-11 08:00:00,1825,275,460
"","Algeria",28.0339,1.6596,2020-04-12 08:00:00,1914,293,591
"","Algeria",28.0339,1.6596,2020-04-13 08:00:00,1983,313,601
"","Algeria",28.0339,1.6596,2020-04-14 08:00:00,2070,326,691
"","Algeria",28.0339,1.6596,2020-04-15 08:00:00,2160,336,708
"","Algeria",28.0339,1.6596,2020-04-16 08:00:00,2268,348,783
"","Algeria",28.0339,1.6596,2020-04-17 08:00:00,2418,364,846
"","Algeria",28.0339,1.6596,2020-04-18 08:00:00,2534,367,894
"","Algeria",28.0339,1.6596,2020-04-19 08:00:00,2629,375,1047
"","Algeria",28.0339,1.6596,2020-04-20 08:00:00,2718,384,1099
"","Algeria",28.0339,1.6596,2020-04-21 08:00:00,2811,392,1152
"","Algeria",28.0339,1.6596,2020-04-22 08:00:00,2910,402,1204
"","Algeria",28.0339,1.6596,2020-04-23 08:00:00,3007,407,1355
"","Algeria",28.0339,1.6596,2020-04-24 08:00:00,3127,415,1408
"","Algeria",28.0339,1.6596,2020-04-25 08:00:00,3256,419,1479
"","Algeria",28.0339,1.6596,2020-04-26 08:00:00,3382,425,1508
"","Andorra",42.5063,1.5218,2020-01-22 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-23 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-24 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-25 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-26 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-27 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-28 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-29 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-30 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-01-31 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-01 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-02 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-03 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-04 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-05 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-06 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-07 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-08 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-09 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-10 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-11 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-12 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-13 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-14 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-15 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-16 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-17 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-18 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-19 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-20 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-21 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-22 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-23 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-24 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-25 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-26 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-27 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-28 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-02-29 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-03-01 07:00:00,0,0,0
"","Andorra",42.5063,1.5218,2020-03-02 07:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-03 07:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-04 07:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-05 07:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-06 07:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-07 07:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-08 08:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-09 08:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-10 08:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-11 08:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-12 08:00:00,1,0,1
"","Andorra",42.5063,1.5218,2020-03-13 08:00:00,1,0,0
"","Andorra",42.5063,1.5218,2020-03-14 08:00:00,1,0,1
"","Andorra",42.5063,1.5218,2020-03-15 08:00:00,1,0,1
"","Andorra",42.5063,1.5218,2020-03-16 08:00:00,2,0,1
"","Andorra",42.5063,1.5218,2020-03-17 08:00:00,39,0,1
"","Andorra",42.5063,1.5218,2020-03-18 08:00:00,39,0,1
"","Andorra",42.5063,1.5218,2020-03-19 08:00:00,53,0,1
"","Andorra",42.5063,1.5218,2020-03-20 08:00:00,75,0,1
"","Andorra",42.5063,1.5218,2020-03-21 08:00:00,88,0,1
"","Andorra",42.5063,1.5218,2020-03-22 08:00:00,113,1,1
"","Andorra",42.5063,1.5218,2020-03-23 08:00:00,133,1,1
"","Andorra",42.5063,1.5218,2020-03-24 08:00:00,164,1,1
"","Andorra",42.5063,1.5218,2020-03-25 08:00:00,188,1,1
"","Andorra",42.5063,1.5218,2020-03-26 08:00:00,224,3,1
"","Andorra",42.5063,1.5218,2020-03-27 08:00:00,267,3,1
"","Andorra",42.5063,1.5218,2020-03-28 08:00:00,308,3,1
"","Andorra",42.5063,1.5218,2020-03-29 08:00:00,334,6,1
"","Andorra",42.5063,1.5218,2020-03-30 08:00:00,370,8,10
"","Andorra",42.5063,1.5218,2020-03-31 08:00:00,376,12,10
"","Andorra",42.5063,1.5218,2020-04-01 08:00:00,390,14,10
"","Andorra",42.5063,1.5218,2020-04-02 08:00:00,428,15,10
"","Andorra",42.5063,1.5218,2020-04-03 08:00:00,439,16,16
"","Andorra",42.5063,1.5218,2020-04-04 08:00:00,466,17,21
"","Andorra",42.5063,1.5218,2020-04-05 08:00:00,501,18,26
"","Andorra",42.5063,1.5218,2020-04-06 08:00:00,525,21,31
"","Andorra",42.5063,1.5218,2020-04-07 08:00:00,545,22,39
"","Andorra",42.5063,1.5218,2020-04-08 08:00:00,564,23,52
"","Andorra",42.5063,1.5218,2020-04-09 08:00:00,583,25,58
"","Andorra",42.5063,1.5218,2020-04-10 08:00:00,601,26,71
"","Andorra",42.5063,1.5218,2020-04-11 08:00:00,601,26,71
"","Andorra",42.5063,1.5218,2020-04-12 08:00:00,638,29,128
"","Andorra",42.5063,1.5218,2020-04-13 08:00:00,646,29,128
"","Andorra",42.5063,1.5218,2020-04-14 08:00:00,659,31,128
"","Andorra",42.5063,1.5218,2020-04-15 08:00:00,673,33,169
"","Andorra",42.5063,1.5218,2020-04-16 08:00:00,673,33,169
"","Andorra",42.5063,1.5218,2020-04-17 08:00:00,696,35,191
"","Andorra",42.5063,1.5218,2020-04-18 08:00:00,704,35,205
"","Andorra",42.5063,1.5218,2020-04-19 08:00:00,713,36,235
"","Andorra",42.5063,1.5218,2020-04-20 08:00:00,717,37,248
"","Andorra",42.5063,1.5218,2020-04-21 08:00:00,717,37,282
"","Andorra",42.5063,1.5218,2020-04-22 08:00:00,723,37,309
"","Andorra",42.5063,1.5218,2020-04-23 08:00:00,723,37,333
"","Andorra",42.5063,1.5218,2020-04-24 08:00:00,731,40,344
"","Andorra",42.5063,1.5218,2020-04-25 08:00:00,738,40,344
"","Andorra",42.5063,1.5218,2020-04-26 08:00:00,738,40,344
"","Angola",-11.2027,17.8739,2020-01-22 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-23 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-24 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-25 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-26 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-27 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-28 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-29 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-30 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-01-31 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-02-01 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-02-02 07:00:00,0,0,0
"","Angola",-11.2027,17.8739,2020-02-03 07:00:00,0,0,0
